A_macrophytes_species_number_msk	A_macrophytes_species_name_taxalistch	A_macrophytes_species_name_latin	A_macrophytes_taxalist_taxagroups	A_macrophytes_taxalist_taxagroups_assign	A_macrophytes_taxalist_growthform_assess_twoforms_grfo	A_macrophytes_taxalist_growthform_assess_twoforms_grfoval	A_macrophytes_taxalist_growthform	A_macrophytes_taxalist_growthform_abbrev	A_macrophytes_taxalist_growthform_assess	A_macrophytes_taxalist_conservationinfo	A_macrophytes_taxalist_indexspecies	A_macrophytes_taxalist_priorityspecies	A_macrophytes_taxalist_redliststatuts	A_macrophytes_taxalist_determination	A_macrophytes_taxalist_determination_trait	A_macrophytes_taxalist_phenology_trait
268400	Najas marina L.	Najas marina L.		30000097			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
268500	Najas minor All.	Najas minor All.		30000097			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
30000097	Najas sp.	Najas sp.	1				Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
269800	Nasturtium microphyllum (Boenn.) Rchb. 	Nasturtium microphyllum (Boenn.) Rchb.		30000098			Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_fruits	2
269900	Nasturtium officinale R. Br. 	Nasturtium officinale R. Br.		30000098			Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_fruits	2
30000098	Nasturtium sp. oder Cardamine amara (emers)	Nasturtium sp. oder Cardamine amara	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
30000099	Nasturtium sp. oder Cardamine amara (submers)	Nasturtium sp. oder Cardamine amara	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000098	Herbide	Herb	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	1			2		
272300	Nuphar lutea (L.) Sm. 	Nuphar lutea (L.) Sm.		30000100			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
272400	Nuphar pumila (Timm) DC. 	Nuphar pumila (Timm) DC.		30000100			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	EN	2		
30000100	Nuphar sp.	Nuphar sp.	1				Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
272500	Nymphaea alba L. 	Nymphaea alba L.		30000101			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_flowers	1
30000101	Nymphaea sp.	Nymphaea sp.	1				Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
272700	Nymphoides peltata (S. G. Gmel.) Kuntze	Nymphoides peltata (S. G. Gmel.) Kuntze					Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			1		
60000005	Oenanthe aquatica (L.) Poir. 	Oenanthe aquatica (L.) Poir.		30000102	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000006	Oenanthe aquatica (L.) Poir. 	Oenanthe aquatica (L.) Poir.		30000103	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000005	Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000007	Oenanthe fistulosa L.	Oenanthe fistulosa L.		30000102	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000008	Oenanthe fistulosa L. 	Oenanthe fistulosa L.		30000103	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000007	Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
30000102	Oenanthe sp. (emers)	Oenanthe sp.	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
30000103	Oenanthe sp. (submers)	Oenanthe sp.	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000102	Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
297900	Phalaris arundinacea L.	Phalaris arundinacea L.					Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
300300	Phragmites australis (Cav.) Steud.	Phragmites australis (Cav.) Steud.					Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
303600	Pilularia globulifera L.	Pilularia globulifera L.					Isoetide	Iso	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
310600	Poa palustris L. 	Poa palustris L.		30000104			Parvograminoide	Pgra	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000104	Poaceae mit schwimmenden Ausläufern (A. stolonifera, C. aquatica, L. oryzoides, P. palustris)	Poaceae mit schwimmenden Ausläufern	1				Parvograminoide	Pgra	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
314000	Polygonum amphibium L.	Polygonum amphibium L.					Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
317000	Pontederia cordata L.	Pontederia cordata L.					Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_neophyte				1		
318000	Potamogeton acutifolius Link 	Potamogeton acutifolius Link		30000105			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
318100	Potamogeton alpinus Balb. 	Potamogeton alpinus Balb.		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			2		
318200	Potamogeton berchtoldii Fieber 	Potamogeton berchtoldii Fieber		30000107			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	1			2		
318300	Potamogeton coloratus Hornem. (Potamogeton 4)	Potamogeton coloratus Hornem.		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
318500	Potamogeton crispus L. 	Potamogeton crispus L.		30000109			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
318700	Potamogeton filiformis Pers. 	Potamogeton filiformis Pers.		30000106			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
318800	Potamogeton friesii Rupr. 	Potamogeton friesii Rupr.		30000105			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
318900	Potamogeton gramineus L. 	Potamogeton gramineus L.		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
319000	Potamogeton helveticus (G. Fisch.) W. Koch 	Potamogeton helveticus (G. Fisch.) W. Koch		30000106			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
319100	Potamogeton lucens L. 	Potamogeton lucens L.		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			1		
319200	Potamogeton natans L. 	Potamogeton natans L.		30000108			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
319300	Potamogeton nodosus Poir. 	Potamogeton nodosus Poir.		30000108			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
319500	Potamogeton obtusifolius Mert. & W. D. J. Koch 	Potamogeton obtusifolius Mert. & W. D. J. Koch		30000105			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
319700	Potamogeton pectinatus L. 	Potamogeton pectinatus L.		30000106			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	1			2		
319800	Potamogeton perfoliatus L.	Potamogeton perfoliatus L.		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			1		
320000	Potamogeton polygonifolius Pourr. 	Potamogeton polygonifolius Pourr.		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
320100	Potamogeton praelongus Wulfen 	Potamogeton praelongus Wulfen		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		1	EN	2		
320200	Potamogeton pusillus L.	Potamogeton pusillus L.		30000107			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
320400	Potamogeton trichoides Cham. & Schltdl. 	Potamogeton trichoides Cham. & Schltdl.		30000107			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
320500	Potamogeton x angustifolius Bercht. & J. Presl (= P. gramineus x P. lucens) 	Potamogeton x angustifolius Bercht. & J. Presl		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
40000001	Potamogeton x cognatus Asch. & Graebn. (= P. perfoliatus x P. praelongus) 	Potamogeton x cognatus Asch. & Graebn.		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000002	Potamogeton x cooperi (Fryer) Fryer (= P. crispus x P. perfoliatus) 	Potamogeton x cooperi (Fryer) Fryer		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000003	Potamogeton x fluitans Roth (= P. lucens x P. natans) 	Potamogeton x fluitans Roth		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000004	Potamogeton x nericius Hagstr. (= P. alpinus x P. gramineus) 	Potamogeton x nericius Hagstr.		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000005	Potamogeton x nerviger Wolfg. (= P. alpinus x P. lucens) 	Potamogeton x nerviger Wolfg.		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
320600	Potamogeton x nitens Weber (= P. gramineus x P. perfoliatus) 	Potamogeton x nitens Weber		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
40000006	Potamogeton x olivaceus Baagoee ex G. Fisch. (= P. crispus x P. alpinus) 	Potamogeton x olivaceus Baagoee ex G. Fisch.		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
320550	Potamogeton x decipiens Nolte ex W.D.J.Koch (= P. lucens x P. perfoliatus) 	Potamogeton x decipiens Nolte ex W.D.J.Koch		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
40000008	Potamogeton x schreberi G. Fisch. (= P. natans x P. nodosus) 	Potamogeton x schreberi G. Fisch.		30000108			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000009	Potamogeton x sparganifolius Laest. ex Fr. (= P. gramineus x P. natans) 	Potamogeton x sparganifolius Laest. ex Fr.		30000108			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000010	Potamogeton x spathulatus Schrad. ex W. D. J. Koch & Ziz (= P. alpinus x P. polygonifolius) 	Potamogeton x spathulatus Schrad. ex W. D. J. Koch & Ziz		30000108			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000011	Potamogeton x suecicus K. Richt. (= P. filiformis x P. pectinatus) 	Potamogeton x suecicus K. Richt.		30000106			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000012	Potamogeton x undulatus Wolfg. (= P. crispus x P. praelongus)	Potamogeton x undulatus Wolfg.		30000109			Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000013	Potamogeton x variifolius Thore (= P. natans x P. berchtoldii) 	Potamogeton x variifolius Thore		30000108			Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
40000014	Potamogeton x lintonii Fryer (= P. crispus x P. friesii) (Potamogeton 5)	Potamogeton x lintonii Fryer		30000109			Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_hybrid				2		
30000105	Potamogeton 1 (schmalblaettrig > 2mm breit, Blaetter bandfoermig (Querschnitt flach))	Potamogeton 1	1				Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic					2		
30000106	Potamogeton 2 (schmalblaettrig, Blätter im Querschnitt rundlich)	Potamogeton 2	1				Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic					2		
30000107	Potamogeton 3 (sehr schmalblaettrig < 3mm breit, Blaetter bandfoermig (Querschnitt flach))	Potamogeton 3	1				Parvopotamide	Ppot	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	1			2		
30000108	Potamogeton 4 (mit Unterwasserblaettern und (oft) Schwimmblaettern)	Potamogeton 4	1				Magnonymphaeide	Mnym	L_macrophytes_taxalist_growthform_assess_aquatic					2		
30000109	Potamogeton 5 (nur mit breiten, durchscheinenden Unterwasserblaettern)	Potamogeton 5	1				Magnopotamide	Mpot	L_macrophytes_taxalist_growthform_assess_aquatic					2		
336900	Ranunculus aquatilis L. 	Ranunculus aquatilis L.		337000			Batrachide	Bat	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
338000	Ranunculus circinatus Sibth.	Ranunculus circinatus Sibth.					Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
338500	Ranunculus fluitans Lam.	Ranunculus fluitans Lam.					Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
339400	Ranunculus lingua L.	Ranunculus lingua L.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	1		
340000	Ranunculus peltatus Schrank 	Ranunculus peltatus Schrank		337000			Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
340100	Ranunculus penicillatus (Dumort.) Bab. 	Ranunculus penicillatus (Dumort.) Bab.		337000			Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
341000	Ranunculus reptans L.	Ranunculus reptans L.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		1	EN	2		
341100	Ranunculus rionii Lagger 	Ranunculus rionii Lagger		341895			Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	CR	4		
341895	Ranunculus trichophyllus Chaix s.l. 	Ranunculus trichophyllus Chaix s.l.		30000110			Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_flowers	1
341900	Ranunculus trichophyllus Chaix s.str. 	Ranunculus trichophyllus Chaix s.str.		341895			Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			4		
342000	Ranunculus trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook	Ranunculus trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook		341895			Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			4		
337000	"Ranunculus aquatilis aggr. auct. helv.; mit fein zerteilten Tauchblaettern und Schwimmblaettern (R. aquatilis, R. peltatus, R. penicillatus)"	Ranunculus aquatilis aggr. auct. helv.	1				Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
30000110	Ranunculus sp. 1 (mit feinen zerteilten Unterwasserblaettern, ohne Schwimmblaetter (R. aquatilis, R. peltatus, R. penicillatus, R. trichophyllus, R. rionii))	Ranunculus sp.	1				Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
362500	Sagittaria latifolia Willd.	Sagittaria latifolia Willd.		30000111			Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_neophyte				2		
362700	Sagittaria sagittifolia L. 	Sagittaria sagittifolia L.		30000111			Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_fruits	2
30000111	Sagittaria sp. (emers)	Sagittaria sp.	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte					2		
30000112	Sagittaria sp. (submers)	Sagittaria sp.	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000111	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic					2		
368100	Salvinia natans (L.) All.	Salvinia natans (L.) All.					Lemnide	Lem	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_neophyte				1		
378200	Schoenoplectus lacustris (L.) Palla 	Schoenoplectus lacustris (L.) Palla		30000114	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
378300	Schoenoplectus mucronatus (L.) Palla 	Schoenoplectus mucronatus (L.) Palla		30000113			Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
378400	Schoenoplectus pungens (Vahl) Palla 	Schoenoplectus pungens (Vahl) Palla		30000113			Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
378700	Schoenoplectus tabernaemontani (C. C. Gmel.) Palla 	Schoenoplectus tabernaemontani (C. C. Gmel.) Palla		30000114	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
378800	Schoenoplectus triqueter (L.) Palla 	Schoenoplectus triqueter (L.) Palla		30000113			Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
30000113	Schoenoplectus kantig (S. mucronatus, S. pungens, S. triqueter)	Schoenoplectus kantig	1				Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
30000114	Schoenoplectus rund, emers (S. lacustris, S. tabernaemontani)	Schoenoplectus rund	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000125	Schoenoplectus rund, submers (S. lacustris, S. tabernaemontani)	Schoenoplectus rund	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000114	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
379700	Scirpus sylvaticus L.	Scirpus sylvaticus L.		30000083			Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
381800	Scrophularia auriculata L.	Scrophularia auriculata L.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
382200	Scrophularia umbrosa Dumort.	Scrophularia umbrosa Dumort.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
60000009	Sium latifolium L. (emers)	Sium latifolium L.			L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
60000010	Sium latifolium L. (submers)	Sium latifolium L.			L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000009	Myriophyllide	Myr	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
402900	Sparganium angustifolium Michx. 	Sparganium angustifolium Michx.		30000117			Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	NT	2		
60000011	Sparganium emersum Rehmann (emers) 	Sparganium emersum Rehmann		30000115	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000012	Sparganium emersum Rehmann (submers) 	Sparganium emersum Rehmann		30000116	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000011	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000013	Sparganium erectum L. s.l. (emers, wenn Unterarten nicht spezifiziert werden)	Sparganium erectum L. s.l.		30000115	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000014	Sparganium erectum L. s.l. (submers, wenn Unterarten nicht spezifiziert werden)	Sparganium erectum L. s.l.		30000116	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000013	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
60000015	Sparganium erectum L. s.str.	Sparganium erectum L. s.str.		60000013	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			4	L_macrophytes_taxalist_determination_trait_fruits	2
60000016	Sparganium erectum L. s.str. 	Sparganium erectum L. s.str.		60000014	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000015	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			4	L_macrophytes_taxalist_determination_trait_fruits	2
60000017	Sparganium erectum subsp. microcarpum (Neuman) Domin 	Sparganium erectum subsp. microcarpum (Neuman) Domin		60000013	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	4	L_macrophytes_taxalist_determination_trait_fruits	2
60000018	Sparganium erectum subsp. microcarpum (Neuman) Domin 	Sparganium erectum subsp. microcarpum (Neuman) Domin		60000014	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000017	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	4	L_macrophytes_taxalist_determination_trait_fruits	2
60000019	Sparganium erectum subsp. neglectum (Beeby) K. Richt. 	Sparganium erectum subsp. neglectum (Beeby) K. Richt.		60000013	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			4	L_macrophytes_taxalist_determination_trait_fruits	2
60000020	Sparganium erectum subsp. neglectum (Beeby) K. Richt.	Sparganium erectum subsp. neglectum (Beeby) K. Richt.		60000014	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000019	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			4	L_macrophytes_taxalist_determination_trait_fruits	2
403800	Sparganium natans L.	Sparganium natans L.		30000117			Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
